specimen,defaultname,newname,include
4x1_4x1,WS_2_1 CH=18,WS21,TRUE
4x1_4x1,WS_2_2 CH=19,WS22,TRUE
4x1_4x1,Time  3 - default sample rate,Time2,FALSE
4x1_4x1,Displacement_Front_Right CH=23,disp_FR,TRUE
4x1_4x1,Displacement_Back_Left CH=24,disp_BL,TRUE
4x1_4x1,VSBR-c,VSBR,TRUE
4x1_4x1,Vertical_Slip_Back_Right CH=25,VSBR_old,FALSE
4x1_4x1,HSBR-c,HSBR,TRUE
4x1_4x1,Horizontal_Slip_Back_Right CH=26,HSBR_old,FALSE
4x1_4x1,HSBL-c,HSBL,TRUE
4x1_4x1,Horizontal_Slip_Back_Left CH=27,HSBL_old,FALSE
4x1_4x1,HSSW-c,HSSW,TRUE
4x1_4x1,Horizontal_Slip_Steel_Web CH=28,HSSW_old,FALSE
4x1_4x1,Time3 - default sample rate,Time3,FALSE
4x1_4x1,Pressure_Supply CH=42,PS,FALSE
4x1_4x1,Pressure_Return CH=43,PR,FALSE
4x1_4x1,Load_Cell CH=44,Load,TRUE
4x1_4x1,Force_from_Pressure_Transducers,Load_P,FALSE
4x1_4x1,Average_Displacement,disp_avg,FALSE
